1000	0.000037
2000	0.000097
3000	0.000157
4000	0.000248
5000	0.000358
6000	0.000637
7000	0.000587
8000	0.001303
9000	0.000905
10000	0.001061
11000	0.001249
12000	0.001527
13000	0.001690
14000	0.001942
15000	0.002227
16000	0.002461
17000	0.002804
18000	0.003618
19000	0.003360
20000	0.004177
21000	0.004264
22000	0.005854
23000	0.005375
24000	0.005952
25000	0.006409
26000	0.006750
27000	0.006635
28000	0.007619
29000	0.008515
30000	0.008756
31000	0.009486
32000	0.009607
33000	0.011060
34000	0.011244
35000	0.013089
36000	0.012606
37000	0.014681
38000	0.013386
39000	0.014809
40000	0.015111
41000	0.016722
42000	0.017370
43000	0.017541
44000	0.019026
45000	0.021812
46000	0.021887
47000	0.021600
48000	0.022823
49000	0.026242
50000	0.026630
