1000	0.008294
2000	0.027843
3000	0.064390
4000	0.114332
5000	0.178405
6000	0.252667
7000	0.336775
8000	0.435047
9000	0.605850
10000	0.710012
11000	0.808353
12000	0.974969
13000	1.146208
14000	1.364840
15000	1.580335
16000	1.762191
17000	1.917374
18000	2.198931
19000	2.550193
20000	2.746218
21000	3.213599
22000	3.615850
23000	3.870234
24000	4.150695
25000	4.468438
26000	4.742195
27000	4.861465
28000	5.582016
29000	5.765697
30000	5.992502
31000	6.658889
32000	7.259178
33000	7.568154
34000	8.120719
35000	8.231906
36000	8.748145
37000	9.137069
38000	9.686108
39000	10.350369
40000	10.791826
41000	13.105155
42000	12.473977
43000	14.556893
44000	13.423518
45000	15.404429
46000	15.649628
47000	18.022250
48000	18.347504
49000	16.978606
50000	17.140778
